variable_name,variable_description,content
mod_d,최종 DB 수정일,"A001000101
조사구번호 거처주거번호 가구원번호"
ID,개인 아이디,"A0010001
조사구번호 거처주거번호"
ID_fam,가구 아이디,
year,조사연도,
region,17개 시도,"1. 서울
2. 부산
3. 대구
4. 인천
5. 광주
6. 대전
7. 울산
8. 세종
9. 경기
10. 강원
11. 충북
12. 충남
13. 전북
14. 전남
15. 경북
16. 경남
17. 제주"
town_t,동/읍면 구분,"1. 동
2. 읍면"
apt_t,아파트 구분,"1. 일반
2. 아파트"
psu,조사구번호,
sex,성별,"1. 남자
2. 여자"
age,나이1),"세
1~79. 1~79세
80. 80세이상"
age_month,월령,개월 (1~64세)
incm,"소득 4분위수(개인)
※4분위수 구분 기준금액 참조","1. 하
2. 중하
3. 중상
4. 상"
ho_incm,"소득 4분위수(가구)
※4분위수 구분 기준금액 참조","1. 하
2. 중하
3. 중상
4. 상"
incm5,"소득 5분위수(개인)
※5분위수 구분 기준금액 참조","1. 하
2. 중하
3. 중
4. 중상
5. 상"
ho_incm5,"소득 5분위수(가구)
※5분위수 구분 기준금액 참조","1. 하
2. 중하
3. 중
4. 중상
5. 상"
edu,"교육수준 재분류 코드
※졸업은 현 학력으로, 수료·중퇴 재학·휴학은 이전 학력으로 분류","1. 초졸이하
2. 중졸
3. 고졸
4. 대졸이상"
occp,"직업재분류 및 실업/비경제활동 상태 코드
※군인 제외","1. 관리자, 전문가 및 관련 종사자
2. 사무종사자
3. 서비스 및 판매 종사자
4. 농림어업 숙련 종사자
5. 기능원, 장치기계조작 및 조립종사자
6. 단순노무종사자
7. 무직(주부, 학생 등)"
wt_hs,가구조사 가중치,
wt_itvex,건강설문-검진조사 가중치,
wt_oe,구강검사 가중치,
wt_bia,체성분검사 가중치(10세이상)2),
wt_pft,폐기능검사 가중치3),
wt_ntr,영양조사 가중치,
wt_tot,건강설문-검진조사 & 영양조사 가중치1),
wt_oent,구강검사 & 영양조사 가중치,
wt_biant,체성분검사 & 영양조사 가중치(10세이상)2),
wt_pfnt,폐기능검사 & 영양조사 가중치3),
strata,분산추정층,
cfam,가구원수1),"1. 1명
2. 2명
3. 3명
4. 4명
5. 5명
6. 6명 이상
9. 모름, 무응답"
genertn,가구 세대구성코드1),"1. 1세대 가구 - 1인가구
2. 1세대 가구 - 부부
3. 1세대 가구 - 기타
4. 2세대 가구 - 부부+미혼자녀
5. 2세대 가구 - 편부모+미혼자녀
6. 2세대 가구 - 기타
7. 3세대 이상 가구
9. 모름, 무응답"
allowcnc,기초생활수급 여부1),"10. 수급경험 있음(과거 또는 현재)
20. 수급경험 없음
99. 모름, 무응답"
house,주택소유여부,"1. 아니오
2. 1채 있음
3. 2채 이상 있음
9. 모름, 무응답"
live_t,주택형태,"1. 단독주택
2. 아파트
3. 연립주택/다세대 주택
4. 기타
9. 모름, 무응답"
ainc_unit1,가구총소득(개방형): 소득단위,"1. 연
2. 월
9. 모름, 무응답"
ainc_1,가구총소득(개방형): 소득액,"만원
문항6-1=①인 경우
200. 연 200만원 이하
200초과 ~ 18000미만 (연속형 소득금액)
18000. 연 1억8천만원이상
문항6-1=②인 경우
17. 월 약17만원 이하
17초과 ~ 1500미만 (연속형 소득금액)
1500. 월 1,500만원 이상"
ainc,월평균 가구총소득1),"만원
17. 월 17만원 이하
17초과 ~ 1500미만 (연속형 소득금액)
1500. 월 1,500만원 이상"
marri_1,결혼여부,"1. 기혼
2. 미혼
9. 모름, 무응답"
marri_2,결혼상태,"1. 유배우자, 동거
2. 유배우자, 별거
3. 사별
4. 이혼
8. 응답거부
9. 모름
88. 비해당(문항10=②)
99. 무응답"
fam_rela,가구주와의 관계,"1. 본인
2. 배우자
3. 자녀
4. 자녀배우자
5. 손자녀
6. 부모
7. 조부모
8. 형제자매
9. 기타친척
10. 비혈연
99. 모름, 무응답"
tins,건강보험종류,"10. 국민건강보험(지역)
20. 국민건강보험(직장)
30. 의료급여
99. 미가입, 모름, 무응답"
npins,민간의료보험 가입여부,"1. 예
2. 아니오
9. 모름, 무응답"
ID_F,아버지 아이디,
ID_M,어머니 아이디,
D_1_1,주관적 건강인지,"1. 매우 좋음
2. 좋음
3. 보통
4. 나쁨
5. 매우 나쁨
9. 모름, 무응답"
D_2_1,최근2주간 몸이 불편했던 경험 유무,"1. 예
2. 아니오
9. 모름, 무응답"
D_2_wk,최근2주간 불편감일수,"일
88. 비해당(문항2=②)
99. 모름, 무응답"
DI1_dg,고혈압 의사진단 여부,"0. 없음
1. 있음
8. 비해당(소아, 청소년)
9. 모름, 무응답"
DI1_ag,고혈압 진단시기1),"세
0~79. 0~79세
80. 80세이상
888. 비해당
(소아, 청소년, 의사진단 받지 않음)
999. 모름, 무응답"
DI1_pr,고혈압 현재 유병 여부,"0. 없음
1. 있음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DI1_pt,고혈압 치료,"0. 없음
1. 있음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DI1_2,혈압조절제 복용,"1. 매일 복용함
2. 한달에 20일 이상 복용함
3. 한달에 15일 이상 복용함
4. 한달에 15일 미만 복용함
5. 복용하지 않음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DI2_dg,이상지질혈증 의사진단 여부,"0. 없음
1. 있음
8. 비해당(소아, 청소년)
9. 모름, 무응답"
DI2_ag,이상지질혈증 진단시기1),"세
0~79. 0~79세
80. 80세이상
888. 비해당
(소아, 청소년, 의사진단 받지 않음)
999. 모름, 무응답"
DI2_pr,이상지질혈증 현재 유병 여부,"0. 없음
1. 있음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DI2_pt,이상지질혈증 치료,"0. 없음
1. 있음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DI2_2,이상지질혈증 약복용,"1. 매일 복용함
2. 한달에 20일 이상 복용함
3. 한달에 15일 이상 복용함
4. 한달에 15일 미만 복용함
5. 복용하지 않음
8. 비해당
(소아, 청소년, 의사진단 받지 않음)
9. 모름, 무응답"
DE1_dg,"당뇨병 의사진단 여부
※제3기(2005) 변수명: DE1_2","0. 없음
1. 있음
8. 비해당(소아, 청소년)
9. 모름, 무응답"
