variable_name,type,classes,flags,bottom,top
mod_d,pass,,,,
ID,pass,,,,
ID_fam,pass,,,,
year,numerical,,,,
region,categorical,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",,,
town_t,categorical,"1,2",,,
apt_t,categorical,"1,2",,,
psu,pass,,,,
sex,categorical,"1,2",,,
age,numerical,,,,80
age_month,numerical,,,,
incm,categorical,"1,2,3,4",,,
ho_incm,categorical,"1,2,3,4",,,
incm5,categorical,"1,2,3,4,5",,,
ho_incm5,categorical,"1,2,3,4,5",,,
edu,categorical,"1,2,3,4",,,
occp,categorical,"1,2,3,4,5,6,7",,,
wt_hs,numerical,,,,
wt_itvex,numerical,,,,
wt_oe,numerical,,,,
wt_bia,numerical,,,,
wt_pft,numerical,,,,
wt_ntr,numerical,,,,
wt_tot,numerical,,,,
wt_oent,numerical,,,,
wt_biant,numerical,,,,
wt_pfnt,numerical,,,,
kstrata,pass,,,,
cfam,categorical,"1,2,3,4,5,6",9,,
genertn,categorical,"1,2,3,4,5,6,7",9,,
allownc,categorical,"10,20",99,,
house,categorical,"1,2,3",9,,
live_t,categorical,"1,2,3,4",9,,
ainc_unit1,pass,"1,2",9,,
ainc_1,pass,,,,
ainc,numerical,,,17,1500
marri_1,categorical,"1,2",9,,
marri_2,categorical,"1,2,3,4","8,9,88,99",,
fam_rela,categorical,"1,2,3,4,5,6,7,8,9,10",99,,
tins,categorical,"10,20,30",99,,
npins,categorical,"1,2",9,,
ID_F,pass,,,,
ID_M,pass,,,,
D_1_1,categorical,"1,2,3,4,5",9,,
D_2_1,categorical,"1,2",9,,
D_2_wk,numerical,,"88,99",,
DI1_dg,categorical,"0,1","8,9",,
DI1_ag,numerical,,"888,999",,80
DI1_pr,categorical,"0,1","8,9",,
DI1_pt,categorical,"0,1","8,9",,
DI1_2,categorical,"1,2,3,4,5","8,9",,
DI2_dg,categorical,"0,1","8,9",,
DI2_ag,numerical,,"888,999",,80
DI2_pr,categorical,"0,1","8,9",,
DI2_pt,categorical,"0,1","8,9",,
DI2_2,categorical,"1,2,3,4,5","8,9",,
DE1_dg,categorical,"0,1","8,9",,
DE1_ag,numerical,,"888,999",,80
DE1_pr,categorical,"0,1","8,9",,
DE1_pt,categorical,"0,1","8,9",,
DE1_3,categorical,"1,2","8,9",,
DE1_31,categorical,"0,1","8,9",,
DE1_32,categorical,"0,1","8,9",,
DE1_33,categorical,"0,1","8,9",,
DE1_34,categorical,"0,1","8,9",,
DE1_35,pass,,,,
DE1_4,categorical,"1,2","8,9",,
DN1_dg,categorical,"0,1","8,9",,
DN1_ag,numerical,,"888,999",,80
DN1_pt,categorical,"0,1","8,9",,
DI3_dg,categorical,"0,1","8,9",,
DI3_ag,numerical,,"888,999",,80
DI3_2,categorical,"1,2,3","8,9",,
DI4_dg,categorical,"0,1","8,9",,
DI5_dg,categorical,"0,1","8,9",,
DI5_ag,numerical,,"888,999",,80
DI6_dg,categorical,"0,1","8,9",,
DI6_ag,numerical,,"888,999",,80
DJ2_dg,categorical,"0,1","8,9",,
DJ2_ag,numerical,,"888,999",,80
DC01_dg,categorical,"0,1","8,9",,
DC01,categorical,"1,2,3,4,5,6,7","8,9,88",,
DC01_tp1,pass,,,,
DC01_ag,numerical,,"888,999",,80
DJ4_dg,categorical,"0,1","8,9",,
DJ4_ag,numerical,,"888,999",,80
DJ4_3,categorical,"1,2,3","8,9",,
DL1_dg,categorical,"0,1","8,9",,
DL1_ag,numerical,,"888,999",,80
DJ8_dg,categorical,"0,1","8,9",,
DJ8_ag,numerical,,"888,999",,80
DM4_dg,categorical,"0,1","8,9",,
DM4_ag,numerical,,"888,999",,80
DM4_pt,categorical,"0,1","8,9",,
DJ6_dg,categorical,"0,1","8,9",,
DJ6_ag,numerical,,"888,999",,80
DH4_dg,categorical,"0,1","8,9",,
DH4_ag,numerical,,"888,999",,80
BP17_dg,categorical,"0,1","8,9",,
M_2_yr,categorical,"1,2,3",9,,
M_2_rs,categorical,"1,2,3,4,5,6,7,8","88,99",,
M_2_et,pass,,,,
mt_nontrt,categorical,"0,1",,,
M_HL_1,categorical,"1,2,3,4","8,9",,
M_HL_2,categorical,"1,2,3,4","8,9",,
M_HL_3,categorical,"1,2,3,4","8,9",,
M_HL_4,categorical,"1,2,3,4","8,9",,
M_HL_5,categorical,"1,2,3,4","8,9",,
M_HL_6,categorical,"1,2,3,4","8,9",,
M_HL_7,categorical,"1,2,3,4","8,9",,
M_HL_8,categorical,"1,2,3,4","8,9",,
M_HL_9,categorical,"1,2,3,4","8,9",,
M_HL_10,categorical,"1,2,3,4","8,9",,
M_HL_S,numerical,,,,
M_HL_11,categorical,"1,2,3,4","8,9",,
BH9_11,categorical,"1,2",9,,
BH1,categorical,"1,2","8,9",,
BH2_61,categorical,"1,2","8,9",,
LQ4_00,categorical,"1,2","8,9",,
LQ4_01,categorical,"0,1","8,9",,
LQ4_02,categorical,"0,1","8,9",,
LQ4_03,categorical,"0,1","8,9",,
LQ4_04,categorical,"0,1","8,9",,
LQ4_05,categorical,"0,1","8,9",,
LQ4_06,categorical,"0,1","8,9",,
LQ4_07,categorical,"0,1","8,9",,
LQ4_08,categorical,"0,1","8,9",,
LQ4_09,categorical,"0,1","8,9",,
LQ4_10,categorical,"0,1","8,9",,
LQ4_11,categorical,"0,1","8,9",,
LQ4_12,categorical,"0,1","8,9",,
LQ4_13,categorical,"0,1","8,9",,
LQ4_14,categorical,"0,1","8,9",,
LQ4_15,categorical,"0,1","8,9",,
LQ4_16,categorical,"0,1","8,9",,
LQ4_21,categorical,"0,1","8,9",,
LQ4_22,categorical,"0,1","8,9",,
LQ4_25,categorical,"0,1","8,9",,
LQ4_26,categorical,"0,1","8,9",,
LQ4_27,categorical,"0,1","8,9",,
LQ4_28,categorical,"0,1","8,9",,
LQ4_29,categorical,"0,1","8,9",,
LQ4_23,categorical,"0,1","8,9",,
LQ4_24,pass,,,,
LQ1_sb,categorical,"1,2","8,9",,
LQ1_mn,numerical,,"88,99",,
LQ2_ab,categorical,"1,2","8,9",,
LQ2_mn,numerical,,"88,99",,
LQ_1EQL,categorical,"1,2,3","8,9",,
LQ_2EQL,categorical,"1,2,3","8,9",,
LQ_3EQL,categorical,"1,2,3","8,9",,
LQ_4EQL,categorical,"1,2,3","8,9",,
LQ_5EQL,categorical,"1,2,3","8,9",,
EQ5D,numerical,,,,
LQ_1HT,categorical,"1,2,3,4","8,9",,
LQ_2HT,categorical,"1,2,3,4","8,9",,
LQ_3HT,categorical,"1,2,3,4","8,9",,
LQ_4HT,categorical,"1,2,3,4","8,9",,
LQ_5HT,categorical,"1,2,3,4","8,9",,
LQ_6HT,categorical,"1,2,3,4","8,9",,
LQ_7HT,categorical,"1,2,3,4","8,9",,
LQ_8HT,categorical,"1,2,3,4","8,9",,
LQ_LF1,categorical,"0,1,2,3,4","8,9",,
LQ_LF2,categorical,"0,1,2,3,4","8,9",,
LQ_LF3,categorical,"0,1,2,3,4","8,9",,
LQ_LF4,categorical,"0,1,2,3,4","8,9",,
LQ_LF5,categorical,"0,1,2,3,4","8,9",,
LQ_LF6,categorical,"0,1,2,3,4","8,9",,
LQ_LF7,categorical,"0,1,2,3,4","8,9",,
LQ_LF8,categorical,"0,1,2,3,4","8,9",,
LQ_LF9,categorical,"0,1,2,3,4","8,9",,
LQ_LF10,categorical,"0,1,2,3,4","8,9",,
LQ_LF_S,numerical,,,,
AC1_yr,categorical,"1,2",9,,
AC3,numerical,,"88,99",,
AC3_1_01,numerical,,9999,,
AC3_1_02,numerical,,9999,,
AC3_1_03,numerical,,9999,,
AC3_1_04,numerical,,9999,,
AC3_1_05,numerical,,9999,,
AC3_1_06,numerical,,9999,,
AC3_2_01,numerical,,99,,
AC3_2_02,numerical,,99,,
AC3_2_03,numerical,,99,,
AC3_2_04,numerical,,99,,
AC3_2_05,numerical,,99,,
AC3_2_06,numerical,,99,,
AC8_1_01,categorical,"1,2,3,4",9,,
AC8_1_02,categorical,"1,2,3,4",9,,
AC8_1_03,categorical,"1,2,3,4",9,,
AC8_1_04,categorical,"1,2,3,4",9,,
AC8_1_05,categorical,"1,2,3,4",9,,
AC8_1_06,categorical,"1,2,3,4",9,,
AC8_1e_01,pass,,,,
AC8_1e_02,pass,,,,
AC8_1e_03,pass,,,,
AC8_1e_04,pass,,,,
AC8_1e_05,pass,,,,
AC8_1e_06,pass,,,,
AC8_2w_01,categorical,"1,2",9,,
AC8_2w_02,categorical,"1,2",9,,
AC8_2w_03,categorical,"1,2",9,,
AC8_2w_04,categorical,"1,2",9,,
AC8_2w_05,categorical,"1,2",9,,
AC8_2w_06,categorical,"1,2",9,,
AC8_2_01,numerical,,"888,999",,
AC8_2_02,numerical,,"888,999",,
AC8_2_03,numerical,,"888,999",,
AC8_2_04,numerical,,"888,999",,
AC8_2_05,numerical,,"888,999",,
AC8_2_06,numerical,,"888,999",,
AC8_3w_01,categorical,"1,2","8,9",,
AC8_3w_02,categorical,"1,2","8,9",,
AC8_3w_03,categorical,"1,2","8,9",,
AC8_3w_04,categorical,"1,2","8,9",,
AC8_3w_05,categorical,"1,2","8,9",,
AC8_3w_06,categorical,"1,2","8,9",,
AC8_3_01,numerical,,"888,999",,
AC8_3_02,numerical,,"888,999",,
AC8_3_03,numerical,,"888,999",,
AC8_3_04,numerical,,"888,999",,
AC8_3_05,numerical,,"888,999",,
AC8_3_06,numerical,,"888,999",,
ij_expr,categorical,"0,1",,,
MH1_yr,categorical,"1,2",9,,
MH1_1,numerical,,"88,99",,
MO1_wk,categorical,"1,2",9,,
MO1_1,numerical,,"88,99",,
educ,categorical,"1,2,3,4,5,6,7,8","88,99",,
graduat,categorical,"1,2,3,4","8,9",,
EC_pedu_1,categorical,"1,2,3,4,5,6,7,8","88,99",,
EC_pedu_2,categorical,"1,2,3,4,5,6,7,8","88,99",,
CH2_1,categorical,"1,2,3","8,9",,
CH2_2,categorical,"1,2,3,4","8,9",,
EC1_1,categorical,"1,2","8,9",,
EC_occp,categorical,"1,2,3,4,5,6,7,8,9,10","88,99",,
EC_stt_1,categorical,"1,2,3,4","8,9",,
EC_stt_2,categorical,"1,2,3","8,9",,
EC_wht_0,categorical,"1,2","8,9",,
EC_wht_23,numerical,,"888,999",,
EC_wht_5,categorical,"1,2,3,4,5,6,7,8","88,99",,
EC_wht_6,pass,,,,
EC_lgw_2,categorical,"1,2,3,4,5,6,7,8,9,10","88,99",,
EC_lgw_4,categorical,"1,2,3,4","8,9",,
EC_lgw_5,categorical,"1,2,3","8,9",,
BO1,categorical,"1,2,3,4,5","8,9",,
BO1_1,categorical,"1,2,3","8,9",,
BO1_2,categorical,"1,2,3","8,9",,
BO1_3,categorical,"1,2,3","8,9",,
BO2_1,categorical,"1,2,3,4","8,9",,
BO3_01,categorical,"1,2","8,9",,
BO3_02,categorical,"1,2","8,9",,
BO3_03,categorical,"1,2","8,9",,
BO3_14,categorical,"1,2","8,9",,
BO3_05,categorical,"1,2","8,9",,
BO3_04,categorical,"1,2","8,9",,
BO3_12,categorical,"1,2","8,9",,
BO3_07,categorical,"1,2","8,9",,
BO3_09,categorical,"1,2","8,9",,
BO3_10,categorical,"1,2","8,9",,
BO3_11,pass,,,,
BD1,categorical,"1,2","8,9",,
BD2,numerical,,"888,999",,80
BD1_11,categorical,"1,2,3,4,5,6","8,9",,
BD2_1,categorical,"1,2,3,4,5","8,9",,
BD2_14,numerical,,"888,999",,
BD2_31,categorical,"1,2,3,4,5","8,9",,
BD2_32,categorical,"1,2,3,4,5","8,9",,
BD7_4,categorical,"1,2,3","8,9",,
BD7_5,categorical,"1,2","8,9",,
BD7_61,categorical,"0,1","8,9",,
BD7_62,categorical,"0,1","8,9",,
BD7_63,categorical,"0,1","8,9",,
BD7_64,categorical,"0,1","8,9",,
BD7_65,categorical,"0,1","8,9",,
BD7_66,categorical,"0,1","8,9",,
BD7_67,pass,,,,
dr_month,categorical,"0,1",,,
BA2_12,categorical,"1,2,3,4,5","8,9",,
BA2_13,categorical,"1,2,3,4,5","8,9",,
BA2_14,categorical,"1,2,3,4,5","8,9",,
BA2_2_1,categorical,"1,2","8,9",,
BA2_2_2,numerical,,"888,999",,
BA2_2_3,categorical,"1,2","8,9",,
BA2_2_4,numerical,,"888,999",,
BA2_2_5,categorical,"1,2","8,9",,
BA2_2_6,numerical,,"888,999",,
BA2_22,categorical,"1,2,3,4,5","8,9",,
BA1_1,categorical,"1,2,3,4,5,6","8,9",,
BA1_3,categorical,"1,2,3,4,5","8,9",,
BA1_2,categorical,"1,2,3,4,5,6","8,9",,
sc_seatblt,categorical,"0,1",,,
sc_seatblt2,categorical,"0,1",,,
sc_seatblt3,categorical,"0,1",,,
BP16_1,numerical,,"88,99",,
BP16_2,numerical,,"88,99",,
BP16_11,numerical,,"88,99",,
BP16_12,numerical,,"88,99",,
BP16_13,numerical,,"88,99",,
BP16_14,numerical,,"88,99",,
BP16_21,numerical,,"88,99",,
BP16_22,numerical,,"88,99",,
BP16_23,numerical,,"88,99",,
BP16_24,numerical,,"88,99",,
BP17_2,categorical,"1,2","8,9",,
BP17_3,categorical,"1,2","8,9",,
BP17_4,categorical,"1,2","8,9",,
BP_PHQ_1,categorical,"0,1,2,3","8,9",,
BP_PHQ_2,categorical,"0,1,2,3","8,9",,
BP_PHQ_3,categorical,"0,1,2,3","8,9",,
BP_PHQ_4,categorical,"0,1,2,3","8,9",,
BP_PHQ_5,categorical,"0,1,2,3","8,9",,
BP_PHQ_6,categorical,"0,1,2,3","8,9",,
BP_PHQ_7,categorical,"0,1,2,3","8,9",,
BP_PHQ_8,categorical,"0,1,2,3","8,9",,
BP_PHQ_9,categorical,"0,1,2,3","8,9",,
mh_PHQ_S,numerical,,,,
BP_GAD_1,categorical,"0,1,2,3","8,9",,
BP_GAD_2,categorical,"0,1,2,3","8,9",,
BP_GAD_3,categorical,"0,1,2,3","8,9",,
BP_GAD_4,categorical,"0,1,2,3","8,9",,
BP_GAD_5,categorical,"0,1,2,3","8,9",,
BP_GAD_6,categorical,"0,1,2,3","8,9",,
BP_GAD_7,categorical,"0,1,2,3","8,9",,
mh_GAD_S,numerical,,,,
BP1,categorical,"1,2,3,4","8,9",,
BP2,categorical,"1,2,3,4,5,6,7,8,9","88,99",,
BP2_2,pass,,,,
BP5,categorical,"1,2","8,9",,
BP6_10,categorical,"1,2","8,9",,
BP6_2,categorical,"1,2","8,9",,
BP6_31,categorical,"1,2","8,9",,
BP7,categorical,"1,2","8,9",,
mh_stress,categorical,"0,1",,,
BS1_1,categorical,"1,2,3","8,9",,
BS2_1,numerical,,"888,999",,80
BS2_2,numerical,,"888,999",,80
BS3_1,categorical,"1,2,3","8,9",,
BS3_2,numerical,,"888,999",,
BS3_3,numerical,,"88,99",,
BS6_2,numerical,,"8888,9999",,
BS6_2_1,numerical,,"88,99",,
BS6_2_2,numerical,,"88,99",,
BS6_3,numerical,,"888,999",,
BS6_4,numerical,,"8888,9999",,
BS6_4_1,numerical,,"88,99",,
BS6_4_2,numerical,,"88,99",,
BS12_37,categorical,"1,2","8,9",,
BS12_47,categorical,"1,2,3","8,9",,
BS12_47_1,numerical,,"888,999",,
BS12_47_2,numerical,,"88,99",,
BS12_47_4,categorical,"1,2,3,4,5,6,7,8,9","88,99",,
BS12_47_5,pass,,,,
BS12_1,categorical,"1,2","8,9",,
BS12_2,categorical,"1,2","8,9",,
BS12_31,categorical,"0,1","8,9",,
BS12_32,categorical,"0,1","8,9",,
BS12_33,categorical,"0,1","8,9",,
BS12_34,categorical,"0,1","8,9",,
BS12_35,pass,,,,
BS12_36,categorical,"0,1","8,9",,
BS12_41,categorical,"0,1","8,9",,
BS12_42,categorical,"0,1","8,9",,
BS12_43,categorical,"0,1","8,9",,
BS12_44,categorical,"0,1","8,9",,
BS12_45,pass,,,,
BS12_46,categorical,"0,1","8,9",,
BS5_4,categorical,"1,2,3,4","8,9",,
BS5,categorical,"1,2","8,9",,
BS5_1,numerical,,"8,9",,
BS5_21,categorical,"0,1","8,9",,
BS5_28,categorical,"0,1","8,9",,
BS5_26,categorical,"0,1","8,9",,
BS5_33,categorical,"0,1","8,9",,
BS5_34,categorical,"0,1","8,9",,
BS5_32,categorical,"0,1","8,9",,
BS5_29,categorical,"0,1","8,9",,
