column_name,source_variable,source_type,feature_type,meaning,column_index
cfam__1,cfam,categorical,one_hot,1,0
cfam__2,cfam,categorical,one_hot,2,1
cfam__3,cfam,categorical,one_hot,3,2
cfam__4,cfam,categorical,one_hot,4,3
cfam__5,cfam,categorical,one_hot,5,4
cfam__6,cfam,categorical,one_hot,6,5
cfam__9,cfam,categorical,one_hot,9,6
cfam__missing,cfam,categorical,one_hot,missing,7
genertn__1,genertn,categorical,one_hot,1,8
genertn__2,genertn,categorical,one_hot,2,9
genertn__3,genertn,categorical,one_hot,3,10
genertn__4,genertn,categorical,one_hot,4,11
genertn__5,genertn,categorical,one_hot,5,12
genertn__6,genertn,categorical,one_hot,6,13
genertn__7,genertn,categorical,one_hot,7,14
genertn__9,genertn,categorical,one_hot,9,15
genertn__missing,genertn,categorical,one_hot,missing,16
allownc__10,allownc,categorical,one_hot,10,17
allownc__20,allownc,categorical,one_hot,20,18
allownc__99,allownc,categorical,one_hot,99,19
allownc__missing,allownc,categorical,one_hot,missing,20
house__1,house,categorical,one_hot,1,21
house__2,house,categorical,one_hot,2,22
house__3,house,categorical,one_hot,3,23
house__9,house,categorical,one_hot,9,24
house__missing,house,categorical,one_hot,missing,25
live_t__1,live_t,categorical,one_hot,1,26
live_t__2,live_t,categorical,one_hot,2,27
live_t__3,live_t,categorical,one_hot,3,28
live_t__4,live_t,categorical,one_hot,4,29
live_t__9,live_t,categorical,one_hot,9,30
live_t__missing,live_t,categorical,one_hot,missing,31
ainc__le_bottom,ainc,numerical,indicator,le_bottom,32
ainc__ge_top,ainc,numerical,indicator,ge_top,33
ainc__missing,ainc,numerical,indicator,missing,34
ainc__value,ainc,numerical,continuous,quantile_centered_value,35
marri_1__1,marri_1,categorical,one_hot,1,36
marri_1__2,marri_1,categorical,one_hot,2,37
marri_1__9,marri_1,categorical,one_hot,9,38
marri_1__missing,marri_1,categorical,one_hot,missing,39
marri_2__1,marri_2,categorical,one_hot,1,40
marri_2__2,marri_2,categorical,one_hot,2,41
marri_2__3,marri_2,categorical,one_hot,3,42
marri_2__4,marri_2,categorical,one_hot,4,43
marri_2__8,marri_2,categorical,one_hot,8,44
marri_2__9,marri_2,categorical,one_hot,9,45
marri_2__88,marri_2,categorical,one_hot,88,46
marri_2__99,marri_2,categorical,one_hot,99,47
