source_variable,column_name,role,method,n_values,n_unique_values,min_value,max_value,median_value,center_value
ainc,ainc__value,input,empirical_quantile_centered,89535,4592,16.666666666666668,1500.0,396.6666666666667,0.0
D_2_wk,D_2_wk__value,input,empirical_quantile_centered,14668,14,1.0,14.0,10.0,0.0
DI1_ag,DI1_ag__value,input,empirical_quantile_centered,17851,68,11.0,80.0,55.0,0.0
DI2_ag,DI2_ag__value,input,empirical_quantile_centered,14162,71,7.0,80.0,57.0,0.0
DE1_ag,DE1_ag__value,input,empirical_quantile_centered,7382,73,4.0,80.0,56.0,0.0
DI3_ag,DI3_ag__value,input,empirical_quantile_centered,1335,62,1.0,80.0,60.0,0.0
DI5_ag,DI5_ag__value,input,empirical_quantile_centered,621,48,19.0,80.0,61.0,0.0
DI6_ag,DI6_ag__value,input,empirical_quantile_centered,1182,59,17.0,80.0,60.0,0.0
DJ2_ag,DJ2_ag__value,input,empirical_quantile_centered,2132,81,0.0,80.0,26.0,0.0
DC01_ag,DC01_ag__value,input,empirical_quantile_centered,380,57,1.0,80.0,55.0,0.0
DJ4_ag,DJ4_ag__value,input,empirical_quantile_centered,2554,81,0.0,80.0,36.0,0.0
DL1_ag,DL1_ag__value,input,empirical_quantile_centered,3958,80,0.0,80.0,5.0,0.0
DJ8_ag,DJ8_ag__value,input,empirical_quantile_centered,12798,81,0.0,80.0,20.0,0.0
DM4_ag,DM4_ag__value,input,empirical_quantile_centered,3876,61,10.0,80.0,63.0,0.0
M_HL_S,M_HL_S__value,input,empirical_quantile_centered,11937,31,10.0,40.0,30.0,0.0
LQ1_mn,LQ1_mn__value,input,empirical_quantile_centered,5160,30,1.0,30.0,2.0,0.0
LQ2_mn,LQ2_mn__value,input,empirical_quantile_centered,2701,29,1.0,30.0,2.0,0.0
EQ5D,EQ5D__value,input,empirical_quantile_centered,55344,238,-0.17100000000000004,1.0,1.0,0.0
LQ_LF_S,LQ_LF_S__value,input,empirical_quantile_centered,1715,40,0.0,100.0,92.5,0.0
AC3,AC3__value,input,empirical_quantile_centered,64839,9,1.0,99.0,88.0,0.0
AC3_1_01,AC3_1_01__value,input,empirical_quantile_centered,4244,10,2015.0,2024.0,2019.0,0.0
AC3_2_01,AC3_2_01__value,input,empirical_quantile_centered,4252,13,1.0,99.0,7.0,0.0
AC8_2_01,AC8_2_01__value,input,empirical_quantile_centered,926,49,1.0,240.0,7.0,0.0
AC8_3_01,AC8_3_01__value,input,empirical_quantile_centered,792,65,1.0,210.0,5.0,0.0
AC3_1_02,AC3_1_02__value,input,empirical_quantile_centered,266,10,2015.0,2024.0,2019.0,0.0
AC3_2_02,AC3_2_02__value,input,empirical_quantile_centered,267,13,1.0,99.0,7.0,0.0
AC8_2_02,AC8_2_02__value,input,empirical_quantile_centered,47,13,1.0,90.0,4.0,0.0
AC8_3_02,AC8_3_02__value,input,empirical_quantile_centered,44,14,1.0,30.0,3.0,0.0
AC3_1_03,AC3_1_03__value,input,empirical_quantile_centered,38,10,2015.0,2024.0,2019.5,0.0
AC3_2_03,AC3_2_03__value,input,empirical_quantile_centered,38,12,1.0,12.0,7.0,0.0
AC8_2_03,AC8_2_03__value,input,empirical_quantile_centered,3,2,1.0,2.0,2.0,0.0
AC8_3_03,AC8_3_03__value,input,empirical_quantile_centered,5,3,1.0,5.0,1.0,0.0
AC3_1_04,AC3_1_04__value,input,empirical_quantile_centered,10,5,2016.0,2024.0,2018.5,0.0
AC3_2_04,AC3_2_04__value,input,empirical_quantile_centered,10,7,4.0,12.0,8.0,0.0
AC8_2_04,AC8_2_04__value,input,empirical_quantile_centered,1,1,3.0,3.0,3.0,0.0
AC8_3_04,AC8_3_04__value,input,empirical_quantile_centered,1,1,1.0,1.0,1.0,0.0
AC3_1_05,AC3_1_05__value,input,empirical_quantile_centered,4,4,2016.0,2024.0,2019.0,0.0
AC3_2_05,AC3_2_05__value,input,empirical_quantile_centered,4,3,6.0,10.0,7.0,0.0
AC8_2_05,AC8_2_05__value,input,empirical_quantile_centered,1,1,1.0,1.0,1.0,0.0
AC8_3_05,AC8_3_05__value,input,empirical_quantile_centered,0,0,,,,0.0
AC3_1_06,AC3_1_06__value,input,empirical_quantile_centered,2,2,2016.0,2024.0,2020.0,0.0
AC3_2_06,AC3_2_06__value,input,empirical_quantile_centered,2,1,8.0,8.0,8.0,0.0
AC8_2_06,AC8_2_06__value,input,empirical_quantile_centered,1,1,1.0,1.0,1.0,0.0
AC8_3_06,AC8_3_06__value,input,empirical_quantile_centered,0,0,,,,0.0
MH1_1,MH1_1__value,input,empirical_quantile_centered,6545,15,1.0,20.0,1.0,0.0
MO1_1,MO1_1__value,input,empirical_quantile_centered,18314,17,1.0,26.0,1.0,0.0
EC_wht_23,EC_wht_23__value,input,empirical_quantile_centered,45501,119,1.0,168.0,40.0,0.0
BO1_2,BO1_2__value,input,empirical_quantile_centered,85911,5,1.0,9.0,8.0,0.0
BO1_3,BO1_3__value,input,empirical_quantile_centered,85911,5,1.0,9.0,8.0,0.0
BD2,BD2__value,input,empirical_quantile_centered,61980,79,1.0,80.0,19.0,0.0
BD2_14,BD2_14__value,input,empirical_quantile_centered,4515,26,10.0,70.0,14.0,0.0
BA2_2_2,BA2_2_2__value,input,empirical_quantile_centered,85911,61,1.0,999.0,888.0,0.0
BA2_2_4,BA2_2_4__value,input,empirical_quantile_centered,85911,40,1.0,999.0,888.0,0.0
BA2_2_6,BA2_2_6__value,input,empirical_quantile_centered,85911,39,1.0,999.0,888.0,0.0
BP16_11,BP16_11__value,input,empirical_quantile_centered,36852,26,1.0,99.0,23.0,0.0
BP16_12,BP16_12__value,input,empirical_quantile_centered,36852,22,0.0,99.0,0.0,0.0
BP16_13,BP16_13__value,input,empirical_quantile_centered,36852,26,1.0,99.0,7.0,0.0
BP16_14,BP16_14__value,input,empirical_quantile_centered,36852,26,0.0,99.0,0.0,0.0
