source_variable,column_name,role,method,n_values,n_unique_values,min_value,max_value,median_value,center_value
HE_glu,HE_glu__value,output,empirical_quantile_centered,74181,310,40.0,553.0,95.0,0.0
HE_HbA1c,HE_HbA1c__value,output,empirical_quantile_centered,74021,118,3.1,17.6,5.5,0.0
HE_DM_HbA1c,HE_DM_HbA1c__value,output,empirical_quantile_centered,33000,3,1.0,3.0,2.0,0.0
HE_chol,HE_chol__value,output,empirical_quantile_centered,74188,318,64.0,525.0,185.0,0.0
HE_HDL_st2,HE_HDL_st2__value,output,empirical_quantile_centered,74176,2463,5.918,150.0,51.368,0.0
HE_TG,HE_TG__value,output,empirical_quantile_centered,74188,916,9.0,3367.0,103.0,0.0
HE_LDL_drct,HE_LDL_drct__value,output,empirical_quantile_centered,30835,254,10.0,394.0,111.0,0.0
HE_HCHOL,HE_HCHOL__value,output,empirical_quantile_centered,64561,2,0.0,1.0,0.0,0.0
HE_HTG,HE_HTG__value,output,empirical_quantile_centered,57949,2,0.0,1.0,0.0,0.0
HE_ast,HE_ast__value,output,empirical_quantile_centered,74184,214,5.0,927.0,21.0,0.0
HE_alt,HE_alt__value,output,empirical_quantile_centered,74135,249,1.0,861.0,17.0,0.0
HE_HB,HE_HB__value,output,empirical_quantile_centered,74038,149,5.0,21.3,13.9,0.0
HE_HCT,HE_HCT__value,output,empirical_quantile_centered,74038,356,17.5,69.2,42.0,0.0
HE_BUN,HE_BUN__value,output,empirical_quantile_centered,74188,77,2.0,140.0,14.0,0.0
HE_crea,HE_crea__value,output,empirical_quantile_centered,74188,278,0.2,17.53,0.77,0.0
HE_WBC,HE_WBC__value,output,empirical_quantile_centered,74038,1286,1.68,39.98,5.99,0.0
HE_RBC,HE_RBC__value,output,empirical_quantile_centered,74038,398,1.61,9.64,4.57,0.0
HE_Bplt,HE_Bplt__value,output,empirical_quantile_centered,73896,577,13.0,1880.0,256.0,0.0
HE_MCV,HE_MCV__value,output,empirical_quantile_centered,74038,526,54.5,123.0,92.2,0.0
HE_MCH,HE_MCH__value,output,empirical_quantile_centered,74038,258,13.6,84.5,30.5,0.0
HE_MCHC,HE_MCHC__value,output,empirical_quantile_centered,74038,143,22.0,77.7,33.0,0.0
HE_PTH,HE_PTH__value,output,empirical_quantile_centered,4502,671,5.4,352.0,36.4,0.0
HE_ALP,HE_ALP__value,output,empirical_quantile_centered,4502,143,25.0,325.0,69.0,0.0
HE_Uacid,HE_Uacid__value,output,empirical_quantile_centered,56852,123,0.5,13.6,4.9,0.0
HE_hsCRP,HE_hsCRP__value,output,empirical_quantile_centered,39593,1055,0.09,166.0,0.59,0.0
HE_Ca,HE_Ca__value,output,empirical_quantile_centered,6293,33,7.7,11.9,9.5,0.0
HE_P,HE_P__value,output,empirical_quantile_centered,6293,47,1.9,6.6,3.7,0.0
HE_Mg,HE_Mg__value,output,empirical_quantile_centered,6293,16,1.2,2.7,2.1,0.0
HE_D2,HE_D2__value,output,empirical_quantile_centered,8530,324,0.3,34.74,0.39,0.0
HE_D3,HE_D3__value,output,empirical_quantile_centered,16246,4410,2.82,128.46,23.35,0.0
HE_D3_3epi,HE_D3_3epi__value,output,empirical_quantile_centered,13775,528,0.5,15.66,1.07,0.0
HE_Uph,HE_Uph__value,output,empirical_quantile_centered,74036,9,5.0,9.0,5.5,0.0
HE_Usg,HE_Usg__value,output,empirical_quantile_centered,74036,51,1.0,1.05,1.02,0.0
HE_Ucrea,HE_Ucrea__value,output,empirical_quantile_centered,38033,3767,2.9,725.22,117.0,0.0
HE_UNa,HE_UNa__value,output,empirical_quantile_centered,67972,295,5.0,319.0,110.0,0.0
HE_Ualb,HE_Ualb__value,output,empirical_quantile_centered,43882,2044,0.09,5104.0,7.6,0.0
HE_Ukal,HE_Ukal__value,output,empirical_quantile_centered,53979,100,2.0,101.0,42.0,0.0
