column_name,source_variable,source_type,feature_type,rawdata,default_value,column_index
cfam__1,cfam,categorical,one_hot,1,0.0,0
cfam__2,cfam,categorical,one_hot,2,0.0,1
cfam__3,cfam,categorical,one_hot,3,0.0,2
cfam__4,cfam,categorical,one_hot,4,0.0,3
cfam__5,cfam,categorical,one_hot,5,0.0,4
cfam__6,cfam,categorical,one_hot,6,0.0,5
genertn__1,genertn,categorical,one_hot,1,0.0,6
genertn__2,genertn,categorical,one_hot,2,0.0,7
genertn__3,genertn,categorical,one_hot,3,0.0,8
genertn__4,genertn,categorical,one_hot,4,0.0,9
genertn__5,genertn,categorical,one_hot,5,0.0,10
genertn__6,genertn,categorical,one_hot,6,0.0,11
genertn__7,genertn,categorical,one_hot,7,0.0,12
allownc__10,allownc,categorical,one_hot,10,0.0,13
allownc__20,allownc,categorical,one_hot,20,0.0,14
house__1,house,categorical,one_hot,1,0.0,15
house__2,house,categorical,one_hot,2,0.0,16
house__3,house,categorical,one_hot,3,0.0,17
live_t__1,live_t,categorical,one_hot,1,0.0,18
live_t__2,live_t,categorical,one_hot,2,0.0,19
live_t__3,live_t,categorical,one_hot,3,0.0,20
live_t__4,live_t,categorical,one_hot,4,0.0,21
ainc__value,ainc,numerical,continuous,raw_value,0.0,22
marri_1__1,marri_1,categorical,one_hot,1,0.0,23
marri_1__2,marri_1,categorical,one_hot,2,0.0,24
marri_2__1,marri_2,categorical,one_hot,1,0.0,25
marri_2__2,marri_2,categorical,one_hot,2,0.0,26
marri_2__3,marri_2,categorical,one_hot,3,0.0,27
marri_2__4,marri_2,categorical,one_hot,4,0.0,28
fam_rela__1,fam_rela,categorical,one_hot,1,0.0,29
fam_rela__2,fam_rela,categorical,one_hot,2,0.0,30
fam_rela__3,fam_rela,categorical,one_hot,3,0.0,31
fam_rela__4,fam_rela,categorical,one_hot,4,0.0,32
fam_rela__5,fam_rela,categorical,one_hot,5,0.0,33
fam_rela__6,fam_rela,categorical,one_hot,6,0.0,34
fam_rela__7,fam_rela,categorical,one_hot,7,0.0,35
fam_rela__8,fam_rela,categorical,one_hot,8,0.0,36
fam_rela__9,fam_rela,categorical,one_hot,9,0.0,37
fam_rela__10,fam_rela,categorical,one_hot,10,0.0,38
tins__10,tins,categorical,one_hot,10,0.0,39
tins__20,tins,categorical,one_hot,20,0.0,40
tins__30,tins,categorical,one_hot,30,0.0,41
npins__1,npins,categorical,one_hot,1,0.0,42
npins__2,npins,categorical,one_hot,2,0.0,43
D_1_1__1,D_1_1,categorical,one_hot,1,0.0,44
D_1_1__2,D_1_1,categorical,one_hot,2,0.0,45
D_1_1__3,D_1_1,categorical,one_hot,3,0.0,46
D_1_1__4,D_1_1,categorical,one_hot,4,0.0,47
