column_name,source_variable,valid_rate,column_index
cfam__1__mask,cfam,0.999722120333011,0
cfam__2__mask,cfam,0.999722120333011,1
cfam__3__mask,cfam,0.999722120333011,2
cfam__4__mask,cfam,0.999722120333011,3
cfam__5__mask,cfam,0.999722120333011,4
cfam__6__mask,cfam,0.999722120333011,5
genertn__1__mask,genertn,0.9995220469727789,6
genertn__2__mask,genertn,0.9995220469727789,7
genertn__3__mask,genertn,0.9995220469727789,8
genertn__4__mask,genertn,0.9995220469727789,9
genertn__5__mask,genertn,0.9995220469727789,10
genertn__6__mask,genertn,0.9995220469727789,11
genertn__7__mask,genertn,0.9995220469727789,12
allownc__10__mask,allownc,0.9987217535318506,13
allownc__20__mask,allownc,0.9987217535318506,14
house__1__mask,house,0.99898851801216,15
house__2__mask,house,0.99898851801216,16
house__3__mask,house,0.99898851801216,17
live_t__1__mask,live_t,0.563751153200618,18
live_t__2__mask,live_t,0.563751153200618,19
live_t__3__mask,live_t,0.563751153200618,20
live_t__4__mask,live_t,0.563751153200618,21
ainc__value__mask,ainc,0.99519823935443,22
marri_1__1__mask,marri_1,0.9995553925328176,23
marri_1__2__mask,marri_1,0.9995553925328176,24
marri_2__1__mask,marri_2,0.6710793957784521,25
marri_2__2__mask,marri_2,0.6710793957784521,26
marri_2__3__mask,marri_2,0.6710793957784521,27
marri_2__4__mask,marri_2,0.6710793957784521,28
fam_rela__1__mask,fam_rela,0.9992441673057899,29
fam_rela__2__mask,fam_rela,0.9992441673057899,30
fam_rela__3__mask,fam_rela,0.9992441673057899,31
fam_rela__4__mask,fam_rela,0.9992441673057899,32
fam_rela__5__mask,fam_rela,0.9992441673057899,33
fam_rela__6__mask,fam_rela,0.9992441673057899,34
fam_rela__7__mask,fam_rela,0.9992441673057899,35
fam_rela__8__mask,fam_rela,0.9992441673057899,36
fam_rela__9__mask,fam_rela,0.9992441673057899,37
fam_rela__10__mask,fam_rela,0.9992441673057899,38
tins__10__mask,tins,0.9935198461658163,39
tins__20__mask,tins,0.9935198461658163,40
tins__30__mask,tins,0.9935198461658163,41
npins__1__mask,npins,0.9890737714939922,42
npins__2__mask,npins,0.9890737714939922,43
D_1_1__1__mask,D_1_1,0.9055431435970968,44
D_1_1__2__mask,D_1_1,0.9055431435970968,45
D_1_1__3__mask,D_1_1,0.9055431435970968,46
D_1_1__4__mask,D_1_1,0.9055431435970968,47
D_1_1__5__mask,D_1_1,0.9055431435970968,48
D_2_1__1__mask,D_2_1,0.9054653372903398,49
D_2_1__2__mask,D_2_1,0.9054653372903398,50
D_2_wk__value__mask,D_2_wk,0.16303755821579025,51
DI1_dg__0__mask,DI1_dg,0.7707048139873509,52
DI1_dg__1__mask,DI1_dg,0.7707048139873509,53
DI1_ag__value__mask,DI1_ag,0.19841719741683062,54
DI1_pr__0__mask,DI1_pr,0.1997399046316983,55
DI1_pr__1__mask,DI1_pr,0.1997399046316983,56
DI1_pt__0__mask,DI1_pt,0.19972878944501873,57
DI1_pt__1__mask,DI1_pt,0.19972878944501873,58
DI1_2__1__mask,DI1_2,0.1997399046316983,59
DI1_2__2__mask,DI1_2,0.1997399046316983,60
DI1_2__3__mask,DI1_2,0.1997399046316983,61
DI1_2__4__mask,DI1_2,0.1997399046316983,62
DI1_2__5__mask,DI1_2,0.1997399046316983,63
DI2_dg__0__mask,DI2_dg,0.7706603532406326,64
DI2_dg__1__mask,DI2_dg,0.7706603532406326,65
DI2_ag__value__mask,DI2_ag,0.15741327375593273,66
DI2_pr__0__mask,DI2_pr,0.1581468760767837,67
DI2_pr__1__mask,DI2_pr,0.1581468760767837,68
DI2_pt__0__mask,DI2_pt,0.15816910645014284,69
DI2_pt__1__mask,DI2_pt,0.15816910645014284,70
DI2_2__1__mask,DI2_2,0.15816910645014284,71
DI2_2__2__mask,DI2_2,0.15816910645014284,72
DI2_2__3__mask,DI2_2,0.15816910645014284,73
DI2_2__4__mask,DI2_2,0.15816910645014284,74
DI2_2__5__mask,DI2_2,0.15816910645014284,75
DE1_dg__0__mask,DE1_dg,0.871941934264786,76
DE1_dg__1__mask,DE1_dg,0.871941934264786,77
DE1_ag__value__mask,DE1_ag,0.082052308068514,78
DE1_pr__0__mask,DE1_pr,0.08246356997565774,79
DE1_pr__1__mask,DE1_pr,0.08246356997565774,80
DE1_pt__0__mask,DE1_pt,0.08245245478897818,81
DE1_pt__1__mask,DE1_pt,0.08245245478897818,82
DE1_3__1__mask,DE1_3,0.08244133960229862,83
DE1_3__2__mask,DE1_3,0.08244133960229862,84
DE1_31__0__mask,DE1_31,0.07742839040981693,85
DE1_31__1__mask,DE1_31,0.07742839040981693,86
DE1_32__0__mask,DE1_32,0.07742839040981693,87
DE1_32__1__mask,DE1_32,0.07742839040981693,88
DE1_33__0__mask,DE1_33,0.07742839040981693,89
DE1_33__1__mask,DE1_33,0.07742839040981693,90
DE1_34__0__mask,DE1_34,0.07742839040981693,91
DE1_34__1__mask,DE1_34,0.07742839040981693,92
DE1_4__1__mask,DE1_4,0.07949581513221514,93
DE1_4__2__mask,DE1_4,0.07949581513221514,94
DN1_dg__0__mask,DN1_dg,0.7300343459268398,95
DN1_dg__1__mask,DN1_dg,0.7300343459268398,96
DN1_pt__0__mask,DN1_pt,0.005457556659664099,97
DN1_pt__1__mask,DN1_pt,0.005457556659664099,98
DI3_dg__0__mask,DI3_dg,0.6161814887681039,99
DI3_dg__1__mask,DI3_dg,0.6161814887681039,100
DI3_ag__value__mask,DI3_ag,0.014838774217212978,101
DI3_2__1__mask,DI3_2,0.014972156457367701,102
DI3_2__2__mask,DI3_2,0.014972156457367701,103
DI3_2__3__mask,DI3_2,0.014972156457367701,104
DI4_dg__0__mask,DI4_dg,0.6159036091011149,105
DI4_dg__1__mask,DI4_dg,0.6159036091011149,106
DI5_dg__0__mask,DI5_dg,0.6159703002211923,107
DI5_dg__1__mask,DI5_dg,0.6159703002211923,108
DI5_ag__value__mask,DI5_ag,0.006902530928006936,109
DI6_dg__0__mask,DI6_dg,0.6159036091011149,110
DI6_dg__1__mask,DI6_dg,0.6159036091011149,111
DI6_ag__value__mask,DI6_ag,0.013138150655240254,112
DJ2_dg__0__mask,DJ2_dg,0.6157702268609602,113
DJ2_dg__1__mask,DJ2_dg,0.6157702268609602,114
DJ2_ag__value__mask,DJ2_ag,0.023697578000822523,115
DC01_dg__0__mask,DC01_dg,0.061044605244145074,116
DC01_dg__1__mask,DC01_dg,0.061044605244145074,117
DC01__1__mask,DC01,0.002989985216801716,118
DC01__2__mask,DC01,0.002989985216801716,119
DC01__3__mask,DC01,0.002989985216801716,120
DC01__4__mask,DC01,0.002989985216801716,121
DC01__5__mask,DC01,0.002989985216801716,122
DC01__6__mask,DC01,0.002989985216801716,123
DC01__7__mask,DC01,0.002989985216801716,124
DC01_ag__value__mask,DC01_ag,0.004223770938232908,125
DJ4_dg__0__mask,DJ4_dg,0.8825791679171252,126
DJ4_dg__1__mask,DJ4_dg,0.8825791679171252,127
DJ4_ag__value__mask,DJ4_ag,0.028388186779596963,128
DJ4_3__1__mask,DJ4_3,0.028710527193304212,129
DJ4_3__2__mask,DJ4_3,0.028710527193304212,130
DJ4_3__3__mask,DJ4_3,0.028710527193304212,131
DL1_dg__0__mask,DL1_dg,0.88245690086365,132
DL1_dg__1__mask,DL1_dg,0.88245690086365,133
DL1_ag__value__mask,DL1_ag,0.0439939088776996,134
DJ8_dg__0__mask,DJ8_dg,0.8824124401169318,135
DJ8_dg__1__mask,DJ8_dg,0.8824124401169318,136
DJ8_ag__value__mask,DJ8_ag,0.14225215912501252,137
