column_name,source_variable,source_type,target_type,rawdata,default_value,column_index
HE_glu__value,HE_glu,numerical,continuous,raw_value,0.0,0
HE_HbA1c__value,HE_HbA1c,numerical,continuous,raw_value,0.0,1
HE_DM_HbA1c__value,HE_DM_HbA1c,numerical,continuous,raw_value,0.0,2
HE_chol__value,HE_chol,numerical,continuous,raw_value,0.0,3
HE_HDL_st2__value,HE_HDL_st2,numerical,continuous,raw_value,0.0,4
HE_TG__value,HE_TG,numerical,continuous,raw_value,0.0,5
HE_LDL_drct__value,HE_LDL_drct,numerical,continuous,raw_value,0.0,6
HE_HCHOL__value,HE_HCHOL,numerical,continuous,raw_value,0.0,7
HE_HTG__value,HE_HTG,numerical,continuous,raw_value,0.0,8
HE_ast__value,HE_ast,numerical,continuous,raw_value,0.0,9
HE_alt__value,HE_alt,numerical,continuous,raw_value,0.0,10
HE_hepaB__0,HE_hepaB,categorical,one_hot,0,0.0,11
HE_hepaB__1,HE_hepaB,categorical,one_hot,1,0.0,12
HE_hepaC__0,HE_hepaC,categorical,one_hot,0,0.0,13
HE_hepaC__1,HE_hepaC,categorical,one_hot,1,0.0,14
HE_HB__value,HE_HB,numerical,continuous,raw_value,0.0,15
HE_HCT__value,HE_HCT,numerical,continuous,raw_value,0.0,16
HE_anem__0,HE_anem,categorical,one_hot,0,0.0,17
HE_anem__1,HE_anem,categorical,one_hot,1,0.0,18
HE_BUN__value,HE_BUN,numerical,continuous,raw_value,0.0,19
HE_crea__value,HE_crea,numerical,continuous,raw_value,0.0,20
HE_WBC__value,HE_WBC,numerical,continuous,raw_value,0.0,21
HE_RBC__value,HE_RBC,numerical,continuous,raw_value,0.0,22
HE_Bplt__value,HE_Bplt,numerical,continuous,raw_value,0.0,23
HE_MCV__value,HE_MCV,numerical,continuous,raw_value,0.0,24
HE_MCH__value,HE_MCH,numerical,continuous,raw_value,0.0,25
HE_MCHC__value,HE_MCHC,numerical,continuous,raw_value,0.0,26
HE_PTH__value,HE_PTH,numerical,continuous,raw_value,0.0,27
HE_ALP__value,HE_ALP,numerical,continuous,raw_value,0.0,28
HE_Uacid__value,HE_Uacid,numerical,continuous,raw_value,0.0,29
HE_hsCRP__value,HE_hsCRP,numerical,continuous,raw_value,0.0,30
HE_Ca__value,HE_Ca,numerical,continuous,raw_value,0.0,31
HE_P__value,HE_P,numerical,continuous,raw_value,0.0,32
HE_Mg__value,HE_Mg,numerical,continuous,raw_value,0.0,33
HE_D2__value,HE_D2,numerical,continuous,raw_value,0.0,34
HE_D3__value,HE_D3,numerical,continuous,raw_value,0.0,35
HE_D3_3epi__value,HE_D3_3epi,numerical,continuous,raw_value,0.0,36
HE_Uph__value,HE_Uph,numerical,continuous,raw_value,0.0,37
HE_Unitr__0,HE_Unitr,categorical,one_hot,0,0.0,38
HE_Unitr__1,HE_Unitr,categorical,one_hot,1,0.0,39
HE_Usg__value,HE_Usg,numerical,continuous,raw_value,0.0,40
HE_Upro__0,HE_Upro,categorical,one_hot,0,0.0,41
HE_Upro__1,HE_Upro,categorical,one_hot,1,0.0,42
HE_Upro__2,HE_Upro,categorical,one_hot,2,0.0,43
HE_Upro__3,HE_Upro,categorical,one_hot,3,0.0,44
HE_Upro__4,HE_Upro,categorical,one_hot,4,0.0,45
HE_Upro__5,HE_Upro,categorical,one_hot,5,0.0,46
HE_Uglu__0,HE_Uglu,categorical,one_hot,0,0.0,47
HE_Uglu__1,HE_Uglu,categorical,one_hot,1,0.0,48
HE_Uglu__2,HE_Uglu,categorical,one_hot,2,0.0,49
HE_Uglu__3,HE_Uglu,categorical,one_hot,3,0.0,50
HE_Uglu__4,HE_Uglu,categorical,one_hot,4,0.0,51
HE_Uglu__5,HE_Uglu,categorical,one_hot,5,0.0,52
HE_Uket__0,HE_Uket,categorical,one_hot,0,0.0,53
HE_Uket__1,HE_Uket,categorical,one_hot,1,0.0,54
HE_Uket__2,HE_Uket,categorical,one_hot,2,0.0,55
HE_Uket__3,HE_Uket,categorical,one_hot,3,0.0,56
HE_Uket__4,HE_Uket,categorical,one_hot,4,0.0,57
HE_Uket__5,HE_Uket,categorical,one_hot,5,0.0,58
HE_Ubil__0,HE_Ubil,categorical,one_hot,0,0.0,59
HE_Ubil__1,HE_Ubil,categorical,one_hot,1,0.0,60
HE_Ubil__2,HE_Ubil,categorical,one_hot,2,0.0,61
HE_Ubil__3,HE_Ubil,categorical,one_hot,3,0.0,62
HE_Ubil__4,HE_Ubil,categorical,one_hot,4,0.0,63
HE_Ubil__5,HE_Ubil,categorical,one_hot,5,0.0,64
HE_Ubld__0,HE_Ubld,categorical,one_hot,0,0.0,65
HE_Ubld__1,HE_Ubld,categorical,one_hot,1,0.0,66
HE_Ubld__2,HE_Ubld,categorical,one_hot,2,0.0,67
HE_Ubld__3,HE_Ubld,categorical,one_hot,3,0.0,68
HE_Ubld__4,HE_Ubld,categorical,one_hot,4,0.0,69
HE_Ubld__5,HE_Ubld,categorical,one_hot,5,0.0,70
HE_Uro__0,HE_Uro,categorical,one_hot,0,0.0,71
HE_Uro__1,HE_Uro,categorical,one_hot,1,0.0,72
HE_Uro__2,HE_Uro,categorical,one_hot,2,0.0,73
HE_Uro__3,HE_Uro,categorical,one_hot,3,0.0,74
HE_Uro__4,HE_Uro,categorical,one_hot,4,0.0,75
HE_Ucrea__value,HE_Ucrea,numerical,continuous,raw_value,0.0,76
HE_UNa__value,HE_UNa,numerical,continuous,raw_value,0.0,77
HE_Ualb__value,HE_Ualb,numerical,continuous,raw_value,0.0,78
HE_Ukal__value,HE_Ukal,numerical,continuous,raw_value,0.0,79
