column_name,source_variable,valid_rate,column_index
HE_glu__value__mask,HE_glu,0.8245356630764614,0
HE_HbA1c__value__mask,HE_HbA1c,0.8227572332077318,1
HE_DM_HbA1c__value__mask,HE_DM_HbA1c,0.3668011604254893,2
HE_chol__value__mask,HE_chol,0.8246134693832183,3
HE_HDL_st2__value__mask,HE_HDL_st2,0.8244800871430635,4
HE_TG__value__mask,HE_TG,0.8246134693832183,5
HE_LDL_drct__value__mask,HE_LDL_drct,0.34273678126424134,6
HE_HCHOL__value__mask,HE_HCHOL,0.7176075672190915,7
HE_HTG__value__mask,HE_HTG,0.6441139528938389,8
HE_ast__value__mask,HE_ast,0.8245690086365001,9
HE_alt__value__mask,HE_alt,0.8240243644892016,10
HE_hepaB__0__mask,HE_hepaB,0.8245690086365001,11
HE_hepaB__1__mask,HE_hepaB,0.8245690086365001,12
HE_hepaC__0__mask,HE_hepaC,0.8245578934498204,13
HE_hepaC__1__mask,HE_hepaC,0.8245578934498204,14
HE_HB__value__mask,HE_HB,0.8229461913812842,15
HE_HCT__value__mask,HE_HCT,0.8229461913812842,16
HE_anem__0__mask,HE_anem,0.8229350761946047,17
HE_anem__1__mask,HE_anem,0.8229350761946047,18
HE_BUN__value__mask,HE_BUN,0.8246134693832183,19
HE_crea__value__mask,HE_crea,0.8246134693832183,20
HE_WBC__value__mask,HE_WBC,0.8229461913812842,21
HE_RBC__value__mask,HE_RBC,0.8229461913812842,22
HE_Bplt__value__mask,HE_Bplt,0.8213678348727866,23
HE_MCV__value__mask,HE_MCV,0.8229461913812842,24
HE_MCH__value__mask,HE_MCH,0.8229461913812842,25
HE_MCHC__value__mask,HE_MCHC,0.8229461913812842,26
HE_PTH__value__mask,HE_PTH,0.050040570431380396,27
HE_ALP__value__mask,HE_ALP,0.050040570431380396,28
HE_Uacid__value__mask,HE_Uacid,0.6319205931063612,29
HE_hsCRP__value__mask,HE_hsCRP,0.4400835862038303,30
HE_Ca__value__mask,HE_Ca,0.06994786977447286,31
HE_P__value__mask,HE_P,0.06994786977447286,32
HE_Mg__value__mask,HE_Mg,0.06994786977447286,33
HE_D2__value__mask,HE_D2,0.09481254237664921,34
HE_D3__value__mask,HE_D3,0.18057732279613636,35
HE_D3_3epi__value__mask,HE_D3_3epi,0.1531116965109429,36
HE_Uph__value__mask,HE_Uph,0.8229239610079251,37
HE_Unitr__0__mask,HE_Unitr,0.8229239610079251,38
HE_Unitr__1__mask,HE_Unitr,0.8229239610079251,39
HE_Usg__value__mask,HE_Usg,0.8229239610079251,40
HE_Upro__0__mask,HE_Upro,0.8229239610079251,41
HE_Upro__1__mask,HE_Upro,0.8229239610079251,42
HE_Upro__2__mask,HE_Upro,0.8229239610079251,43
HE_Upro__3__mask,HE_Upro,0.8229239610079251,44
HE_Upro__4__mask,HE_Upro,0.8229239610079251,45
HE_Upro__5__mask,HE_Upro,0.8229239610079251,46
HE_Uglu__0__mask,HE_Uglu,0.8229239610079251,47
HE_Uglu__1__mask,HE_Uglu,0.8229239610079251,48
HE_Uglu__2__mask,HE_Uglu,0.8229239610079251,49
HE_Uglu__3__mask,HE_Uglu,0.8229239610079251,50
HE_Uglu__4__mask,HE_Uglu,0.8229239610079251,51
HE_Uglu__5__mask,HE_Uglu,0.8229239610079251,52
HE_Uket__0__mask,HE_Uket,0.8229239610079251,53
HE_Uket__1__mask,HE_Uket,0.8229239610079251,54
HE_Uket__2__mask,HE_Uket,0.8229239610079251,55
HE_Uket__3__mask,HE_Uket,0.8229239610079251,56
HE_Uket__4__mask,HE_Uket,0.8229239610079251,57
HE_Uket__5__mask,HE_Uket,0.8229239610079251,58
HE_Ubil__0__mask,HE_Ubil,0.8229239610079251,59
HE_Ubil__1__mask,HE_Ubil,0.8229239610079251,60
HE_Ubil__2__mask,HE_Ubil,0.8229239610079251,61
HE_Ubil__3__mask,HE_Ubil,0.8229239610079251,62
HE_Ubil__4__mask,HE_Ubil,0.8229239610079251,63
HE_Ubil__5__mask,HE_Ubil,0.8229239610079251,64
HE_Ubld__0__mask,HE_Ubld,0.8229239610079251,65
HE_Ubld__1__mask,HE_Ubld,0.8229239610079251,66
HE_Ubld__2__mask,HE_Ubld,0.8229239610079251,67
HE_Ubld__3__mask,HE_Ubld,0.8229239610079251,68
HE_Ubld__4__mask,HE_Ubld,0.8229239610079251,69
HE_Ubld__5__mask,HE_Ubld,0.8229239610079251,70
HE_Uro__0__mask,HE_Uro,0.8229239610079251,71
HE_Uro__1__mask,HE_Uro,0.8229239610079251,72
HE_Uro__2__mask,HE_Uro,0.8229239610079251,73
HE_Uro__3__mask,HE_Uro,0.8229239610079251,74
HE_Uro__4__mask,HE_Uro,0.8229239610079251,75
HE_Ucrea__value__mask,HE_Ucrea,0.42274389498371623,76
HE_UNa__value__mask,HE_UNa,0.7555214689830716,77
HE_Ualb__value__mask,HE_Ualb,0.4877566218724643,78
HE_Ukal__value__mask,HE_Ukal,0.5999866617759845,79
